layer	x	y	thick
b	47.354000091552734	47.5099983215332	-17.133708741929794
b	27.69499969482422	40.23899841308594	-16.437207963731552
b	41.87699890136719	30.989999771118164	-17.131208207872177
b	46.547000885009766	31.893999099731445	-16.88220765855577
b	25.66699981689453	56.6870002746582	-15.692209031846787
b	24.243999481201172	35.86800003051758	-16.828708436754013
b	59.347999572753906	53.31999969482422	-16.73020913865831
b	36.22700119018555	56.564998626708984	-16.092708375718857
b	66.92500305175781	37.96099853515625	-18.05720880296495
b	42.35900115966797	71.48699951171875	-16.717708375718857
b	63.029998779296875	65.47899627685547	-16.93370797899034
b	35.37799835205078	16.545000076293945	-17.262708452012802
b	19.759000778198242	42.24700164794922	-15.858709123399521
b	48.09199905395508	8.77299976348877	-16.648708131578232
b	17.840999603271484	33.659000396728516	-16.283708360460068
b	54.34000015258789	18.847000122070313	-16.415208604600693
b	65.54199981689453	28.131000518798828	-16.543208864000107
b	13.053999900817871	57.685001373291016	-16.44170930650499
b	79.26799774169922	45.91299819946289	-17.37870767381456
b	11.123000144958496	17.926000595092773	-17.069207933213974
b	65.27300262451172	57.44300079345703	-15.119209077623154
b	20.041000366210938	70.22799682617188	-16.378207948472763
b	50.4379997253418	75.97100067138672	-15.47820832994249
b	80.66600036621094	39.108001708984375	-16.838208940294052
b	48.840999603271484	81.697998046875	-15.994209077623154
b	33.720001220703125	-3.9590001106262207	-16.262708452012802
b	7.734000205993652	49.516998291015625	-16.085208680894638
b	23.381000518798828	11.699999809265137	-17.59970834520128
b	72.56300354003906	67.25	-15.290208604600693
b	5.730000019073486	17.138999938964844	-17.312207963731552
b	77.57499694824219	15.73900032043457	-16.585708406236435
b	58.946998596191406	2.868000030517578	-17.269208696153427
b	16.15999984741211	73.4219970703125	-16.730708864000107
b	10.524999618530273	4.276000022888184	-16.647708680894638
b	-4.39900016784668	68.59300231933594	-15.29220750596788
b	74.95700073242188	74.58999633789063	-16.991708543565537
t	43.91299819946289	38.847999572753906	16.151347372266983
t	33.68899917602539	51.24700164794922	16.45384905073378
t	49.30099868774414	47.470001220703125	15.706847402784561
t	43.10599899291992	31.729000091552734	16.69984743330214
t	61.42300033569336	44.013999938964844	16.461848470899795
t	53.512001037597656	26.479000091552734	16.990847799513077
t	26.37299919128418	28.788000106811523	17.290347311231827
t	56.178001403808594	32.00299835205078	16.79134676191542
t	58.983001708984375	62.483001708984375	15.385348531934952
t	28.09000015258789	55.856998443603516	15.822348806593155
t	37.512001037597656	70.26799774169922	16.30034563276503
t	28.716999053955078	23.55500030517578	16.036345693800186
t	32.124000549316406	19.864999771118164	16.837348196241592
t	67.93199920654297	45.43899917602539	16.03834840986464
t	6.263999938964844	43.5880012512207	16.435847494337295
t	65.36299896240234	14.23900032043457	16.787348959181045
t	13.559000015258789	32.84299850463867	18.14584657880995
t	27.288999557495117	75.90699768066406	17.173346731397842
t	69.8489990234375	31.986000061035156	16.63734743330214
t	51.334999084472656	3.121000051498413	16.314345571729874
t	54.25400161743164	67.80899810791016	15.709346029493545
t	65.73200225830078	60.7130012512207	16.123847219679092
t	19.841999053955078	68.4530029296875	17.667346212599014
t	2.0160000324249268	51.10200119018555	16.801848623487686
t	74.96900177001953	51.012001037597656	15.42534563276503
t	27.357999801635742	1.090999960899353	16.597846243116592
t	43.612998962402344	-4.1570000648498535	16.309348318311905
t	16.048999786376953	17.625	16.097846243116592
t	3.7219998836517334	39.13800048828125	16.748347494337295
t	73.94599914550781	16.261999130249023	16.9348480436537
t	57.869998931884766	-0.11500000208616257	17.7838470670912
t	-2.065999984741211	16.634000778198242	17.05034563276503
t	21.447999954223633	78.24600219726563	16.56334612104628
t	5.684000015258789	64.0770034790039	16.287348959181045
t	70.86900329589844	82.2020034790039	17.162348959181045
t	-1.2589999437332153	0.6150000095367432	16.690348837110733
